time;Angesteckt;SSID;belegt;nass;offline;seq;uptime
2025-03-14T13:32:31Z;1;DC:4F:22:64:D3:55;0;1;0;4561;36150
2025-03-14T13:33:16Z;1;DC:4F:22:64:D3:55;0;1;0;4573;81031
2025-03-14T13:34:04Z;1;DC:4F:22:64:D3:55;0;1;0;4585;128790
2025-03-14T13:43:42Z;1;DC:4F:22:64:D3:55;0;1;0;4729;34718
2025-03-14T13:44:25Z;1;DC:4F:22:64:D3:55;0;1;0;4741;77848
2025-03-14T13:45:13Z;1;DC:4F:22:64:D3:55;0;1;0;4753;112694
2025-03-14T13:46:00Z;1;DC:4F:22:64:D3:55;0;1;0;4765;173425
2025-03-14T13:46:48Z;1;DC:4F:22:64:D3:55;0;1;0;4777;42332
2025-03-14T13:47:36Z;1;DC:4F:22:64:D3:55;0;1;0;4789;72542
2025-03-14T13:48:24Z;1;DC:4F:22:64:D3:55;0;1;0;4801;120316
2025-03-14T13:49:11Z;1;DC:4F:22:64:D3:55;0;1;0;4813;364461
2025-03-14T13:49:59Z;1;DC:4F:22:64:D3:55;0;1;0;4825;215845
2025-03-14T13:50:47Z;1;DC:4F:22:64:D3:55;0;1;0;4837;263627
2025-03-14T13:51:35Z;1;DC:4F:22:64:D3:55;0;1;0;4849;507768
2025-03-14T13:53:58Z;1;DC:4F:22:64:D3:55;0;1;0;4885;37370
2025-03-14T13:54:46Z;1;DC:4F:22:64:D3:55;0;1;0;4897;85247
2025-03-14T13:55:34Z;1;DC:4F:22:64:D3:55;0;1;0;4909;67309
2025-03-14T13:56:22Z;1;DC:4F:22:64:D3:55;0;1;0;4921;180934
2025-03-14T13:57:09Z;1;DC:4F:22:64:D3:55;0;1;0;4933;162822
2025-03-14T13:57:57Z;1;DC:4F:22:64:D3:55;0;1;0;4945;211039
2025-03-14T13:58:25Z;0;DC:4F:22:64:D3:55;1;1;0;4952;303988
2025-03-14T13:59:09Z;1;EC:FA:BC:37:26:43;0;1;0;4;283037
2025-03-14T13:59:15Z;1;EC:FA:BC:37:26:43;0;1;0;5;289028
2025-03-14T13:59:21Z;0;DC:4F:22:64:D3:55;1;1;0;4964;294995
2025-03-14T13:59:33Z;1;EC:FA:BC:37:26:43;0;1;0;9;306578
2025-03-14T13:59:51Z;1;EC:FA:BC:37:26:43;0;1;0;1;389786
2025-03-14T13:59:54Z;1;EC:FA:BC:37:26:43;0;1;0;2;301352
2025-03-14T14:00:03Z;0;DC:4F:22:64:D3:55;1;1;0;4976;336558
2025-03-14T14:00:41Z;1;EC:FA:BC:37:26:43;0;1;0;14;374797
2025-03-14T14:01:01Z;0;DC:4F:22:64:D3:55;1;1;0;4988;394057
2025-03-14T14:01:28Z;1;EC:FA:BC:37:26:43;0;1;0;26;421455
2025-03-14T14:01:47Z;0;DC:4F:22:64:D3:55;1;1;0;5000;440115
2025-03-14T14:01:56Z;0;80:7D:3A:1F:F5:CA;1;1;0;2;423702
2025-03-14T14:02:05Z;0;80:7D:3A:1F:F5:CA;1;1;0;3;458855
2025-03-14T14:02:18Z;0;EC:FA:BC:37:51:B9;1;1;0;5;445472
2025-03-14T14:02:24Z;0;EC:FA:BC:37:51:B9;1;1;0;4;477096
2025-03-14T14:02:36Z;1;EC:FA:BC:37:26:43;0;1;0;38;489055
