time;Angesteckt;SSID;belegt;nass;offline;seq;uptime
2025-03-14T13:31:10Z;1;EC:FA:BC:37:26:26;0;1;0;6343;21152
2025-03-14T13:32:52Z;1;EC:FA:BC:37:26:26;0;1;0;6367;56796
2025-03-14T13:33:39Z;1;EC:FA:BC:37:26:26;0;1;0;6379;104158
2025-03-14T13:41:14Z;1;EC:FA:BC:37:26:26;0;1;0;6487;99959
2025-03-14T13:43:49Z;1;EC:FA:BC:37:26:26;0;1;0;6523;42202
2025-03-14T13:44:32Z;1;EC:FA:BC:37:26:26;0;1;0;6535;85179
2025-03-14T13:45:20Z;1;EC:FA:BC:37:26:26;0;1;0;6547;119917
2025-03-14T13:46:08Z;1;EC:FA:BC:37:26:26;0;1;0;6559;180736
2025-03-14T13:46:58Z;1;EC:FA:BC:37:26:26;0;1;0;6571;231026
2025-03-14T13:47:46Z;1;EC:FA:BC:37:26:26;0;1;0;6583;278803
2025-03-14T13:49:24Z;1;EC:FA:BC:37:26:26;0;1;0;6607;136799
2025-03-14T13:50:16Z;1;EC:FA:BC:37:26:26;0;1;0;6619;428893
2025-03-14T13:51:03Z;1;EC:FA:BC:37:26:26;0;1;0;6631;235914
2025-03-14T13:51:53Z;1;EC:FA:BC:37:26:26;0;1;0;6643;526342
2025-03-14T13:54:23Z;1;EC:FA:BC:37:26:26;0;1;0;6679;62748
2025-03-14T13:55:13Z;1;EC:FA:BC:37:26:26;0;1;0;6691;20688
2025-03-14T13:56:04Z;1;EC:FA:BC:37:26:26;0;1;0;6703;162856
2025-03-14T13:56:54Z;1;EC:FA:BC:37:26:26;0;1;0;6715;147139
2025-03-14T13:57:43Z;1;EC:FA:BC:37:26:26;0;1;0;6727;262228
2025-03-14T13:58:34Z;1;EC:FA:BC:37:26:26;0;1;0;6739;221024
2025-03-14T13:59:33Z;1;EC:FA:BC:37:26:26;0;1;0;6751;372294
2025-03-14T14:00:15Z;1;EC:FA:BC:37:26:26;0;1;0;6763;348377
2025-03-14T14:00:53Z;0;EC:FA:BC:37:27:C7;1;1;0;8;360623
2025-03-14T14:00:54Z;0;EC:FA:BC:37:27:C7;1;1;0;9;388047
2025-03-14T14:01:08Z;1;EC:FA:BC:37:26:26;0;1;0;6775;401296
2025-03-14T14:01:17Z;0;EC:FA:BC:37:26:26;1;1;0;6778;410974
2025-03-14T14:01:41Z;1;EC:FA:BC:37:27:C7;0;1;0;18;434094
2025-03-14T14:02:09Z;0;EC:FA:BC:37:26:26;1;1;0;6790;435722
2025-03-14T14:02:32Z;1;EC:FA:BC:37:27:C7;0;1;0;30;458771
2025-03-14T14:02:47Z;0;DC:4F:22:64:D2:CF;1;1;0;292;474571
2025-03-14T14:03:07Z;0;EC:FA:BC:37:26:26;1;1;0;6802;494053
2025-03-14T14:03:13Z;0;DC:4F:22:64:D2:CF;1;1;0;293;526735
2025-03-14T14:03:18Z;0;DC:4F:22:64:D2:CF;1;1;0;305;7226
2025-03-14T14:03:24Z;1;EC:FA:BC:37:27:C7;0;1;0;42;511222
2025-03-14T14:03:49Z;0;EC:FA:BC:37:26:26;1;1;0;6814;37899
2025-03-14T14:04:06Z;0;DC:4F:22:64:D2:CF;1;1;0;317;15353
2025-03-14T14:04:08Z;1;EC:FA:BC:37:27:C7;0;1;0;54;56787
2025-03-14T14:04:38Z;0;EC:FA:BC:37:26:26;1;1;0;6826;47383
2025-03-14T14:04:45Z;1;EC:FA:BC:37:27:C7;0;1;0;66;54642
2025-03-14T14:04:55Z;0;DC:4F:22:64:D2:CF;1;1;0;329;64321
2025-03-14T14:05:51Z;0;EC:FA:BC:37:26:26;1;1;0;6838;119921
2025-03-14T14:05:58Z;0;DC:4F:22:64:D2:CF;1;1;0;341;127190
2025-03-14T14:06:10Z;1;EC:FA:BC:37:27:C7;0;1;0;90;5481
2025-03-14T14:06:18Z;0;DC:4F:22:64:D2:CF;1;1;0;353;12912
2025-03-14T14:06:25Z;0;EC:FA:BC:37:26:26;1;1;0;6850;20132
2025-03-14T14:07:04Z;0;EC:FA:BC:37:26:26;1;1;0;6862;7710
2025-03-14T14:07:10Z;0;DC:4F:22:64:D2:CF;1;1;0;365;106162
2025-03-14T14:07:20Z;1;EC:FA:BC:37:27:C7;0;1;0;102;115600
2025-03-14T14:07:46Z;0;DC:4F:22:64:D2:CF;1;1;0;377;49370
2025-03-14T14:08:08Z;1;EC:FA:BC:37:27:C7;0;1;0;114;164261
2025-03-14T14:08:15Z;0;EC:FA:BC:37:26:26;1;1;0;6874;78429
2025-03-14T14:08:44Z;0;DC:4F:22:64:D2:CF;1;1;0;389;107711
2025-03-14T14:08:59Z;1;EC:FA:BC:37:27:C7;0;1;0;126;122518
2025-03-14T14:09:06Z;0;DC:4F:22:64:D2:CF;1;1;0;401;22285
2025-03-14T14:09:26Z;1;EC:FA:BC:37:27:C7;0;1;0;138;41971
2025-03-14T14:09:33Z;0;EC:FA:BC:37:26:26;1;1;0;6886;156443
